"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "XML", "Markdown", "pip requirements", "comment", "blank", "total"
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-account-app\card.html", "HTML", 0, 114, 0, 0, 0, 0, 0, 0, 20, 134
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-account-app\category.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-account-app\script.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-accounts-app\script.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-accounts-app\template.html", "HTML", 0, 82, 0, 0, 0, 0, 0, 0, 13, 95
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-categories-app\script.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\repo\Phoenix11\accounting\templates\accounting\includes\person-categories-app\template.html", "HTML", 0, 94, 0, 0, 0, 0, 0, 0, 2, 96
"d:\repo\Phoenix11\accounting\templates\accounting\includes\product-app\card-contents.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"d:\repo\Phoenix11\accounting\templates\accounting\includes\product-app\card.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\repo\Phoenix11\accounting\templates\accounting\includes\product-app\script.html", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\repo\Phoenix11\accounting\templates\accounting\includes\product-specifications-app\script.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 34
"d:\repo\Phoenix11\accounting\templates\accounting\includes\product-specifications-app\template.html", "HTML", 0, 137, 0, 0, 0, 0, 0, 6, 51, 194
"d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\list-script.html", "HTML", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\list-template.html", "HTML", 0, 86, 0, 0, 0, 0, 0, 0, 21, 107
"d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\script.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\template.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 10, 44
"d:\repo\Phoenix11\accounting\templates\accounting\includes\service-app\card-contents.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\repo\Phoenix11\accounting\templates\accounting\includes\service-app\card.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"d:\repo\Phoenix11\accounting\templates\accounting\includes\service-app\script.html", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
